"API","country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.53-1-HTI-TBPD.A","Haiti","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-HITZ-TBPD.A","Hawaiian Trade Zone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-HND-TBPD.A","Honduras","0.001","0.02","0.02","0.02","0.02","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-HKG-TBPD.A","Hong Kong","0","0","0","0","0","0.08","0.58","0.1","0.3","2.1","0.1","0.1","0.1","0.1","0.1"
"INTL.53-1-HUN-TBPD.A","Hungary","42.27912328767123","39.49431232876712","32.81738356164384","37.744234972677596","35.36695890410959","35.39812328767123","31.65008219178082","34.794371584699455","36.478","31.143890410958903","33.922","36.01833333333333","35.922739726027395","37.4213698630137","38.24876712328767"
"INTL.53-1-ISL-TBPD.A","Iceland","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.53-1-IND-TBPD.A","India","834.4883808219178","871.3859890410959","873.9510273972603","876.5325327868852","879.2250109589041","966.0112493150685","1011.5830602739726","1022.0858142076503","1022.0382931506849","1019.2470219178082","1026.8811342465754","1016.3706393442623","1017.4457123287672","1017.3799589041096","994.0233890410959"
"INTL.53-1-IDN-TBPD.A","Indonesia","1098.2837232876711","1035.1944931506848","984.3553397260274","1023.4860519125683","1003.3915479452055","1015.0894410958904","987.9449205479452","960.4293278688525","930.7965890410959","913.116","866.1446438356164","945.637218579235","897.3889315068493","913.6108493150685","925.8054794520548"
"INTL.53-1-IRN-TBPD.A","Iran","4238.583671232876","4149.3402602739725","4039.025684931507","4177.537808743169","4178.296315068493","4243.356583561644","4215.414","3520.1967267759564","3198.6387397260273","3389.651191780822","3497.143273972603","4376.194355191257","4706.364068493151","4455.544890410959","3219.6298219178084"
"INTL.53-1-IRQ-TBPD.A","Iraq","1889.4195342465753","2009.4407397260275","2096.635490410959","2384.552398907104","2399.167095890411","2396.780208219178","2623.603931506849","2978.874333333333","3049.0205616438357","3364.6010958904108","4039.982095890411","4443.457393442623","4455.625931506849","4615.636890410959","4739.556438356164"
"INTL.53-1-IRL-TBPD.A","Ireland","-0.051","-0.182","-0.557","-0.431","-0.296","1.227","0.208","0.557","0.36","0.375","0.196","0.283","0.412","0.412","0.412"
"INTL.53-1-ISR-TBPD.A","Israel","3.709","3.972","4.768","5.574","6.175","5.963","6.174","7.309","6.77","7.092","6.463","5.977","6.38","6.38","6.38"
"INTL.53-1-ITA-TBPD.A","Italy","164.8132191780822","164.53946575342465","168.60986301369863","164.20674863387978","145.52571232876713","173.8394794520548","165.73708219178081","160.6542131147541","191.75734246575342","185.6996712328767","189.9749589041096","150.14686338797813","144.9710273972603","157.96828767123287","146.39842465753424"
"INTL.53-1-JAM-TBPD.A","Jamaica","1.842","4.585","4.346","5.705","5.978","-0.852","-0.841","-0.798","-0.845","-0.699","-0.921","0.707","0.707","0.707","0.707"
"INTL.53-1-JPN-TBPD.A","Japan","128.45482191780823","129.42","132.4438493150685","133.9830382513661","137.91646575342466","141.8821095890411","135.85193150684933","127.07143715846995","137.55075342465753","133.30468493150684","138.44957534246575","123.52503278688525","131.21572602739727","127.30339726027397","126.9718904109589"
"INTL.53-1-JOR-TBPD.A","Jordan","-0.259","-0.128","0.088","0.706","0.614","0.163","0.496","0.439","0.377","0.519","0.403","0.403","0.403","0.403","0.403"
"INTL.53-1-KAZ-TBPD.A","Kazakhstan","1337.1727643835616","1387.865906849315","1445.649816438356","1430.9418169398907","1541.5659589041095","1608.6136602739725","1637.3166849315069","1605.5984098360657","1658.4622328767123","1719.8962465753425","1751.371410958904","1698.2804535519126","1879.8974383561645","1959.308397260274","1966.2755205479452"
"INTL.53-1-KEN-TBPD.A","Kenya","-0.161","-0.318","-0.136","-0.162","-0.167","0.366","0.372","0.449","0.655","0.838","0.824","0.824","0.824","0.824","0.824"
